set,heap,type
baseline,5812888,after
baseline,6131792,before
baseline,5582944,after
baseline,6136544,before
baseline,6136544,after
baseline,4518096,before
baseline,4038288,after
baseline,4238880,before
baseline,4238880,after
baseline,5137464,before
baseline,4778768,after
baseline,5812888,before
baseline,5812888,after
baseline,6131792,before
baseline,5582944,after
baseline,6136544,before
baseline,6136544,after
baseline,4518096,before
baseline,4038288,after
baseline,4238880,before
baseline,4238880,after
baseline,5137464,before
baseline,4778768,after
baseline,5812888,before
baseline,5812888,after
baseline,6131792,before
baseline,5582944,after
baseline,6136544,before
baseline,6136544,after
baseline,4518096,before
baseline,4038288,after
baseline,4238880,before
baseline,4238880,after
baseline,5137464,before
baseline,4778768,after
baseline,5812888,before
baseline,5812888,after
baseline,6131792,before
baseline,5582944,after
baseline,6136544,before
baseline,6136544,after
baseline,4518096,before
baseline,4038288,after
baseline,4238880,before
baseline,4238880,after
baseline,5137464,before
baseline,4778768,after
baseline,5812888,before
baseline,5812888,after
baseline,6131792,before
baseline,5582944,after
baseline,6136544,before
baseline,6136544,after
baseline,4518096,before
baseline,4038288,after
baseline,4238880,before
baseline,4238880,after
baseline,5137464,before
baseline,4778768,after
baseline,5812888,before
baseline,5812888,after
baseline,6131792,before
baseline,5582944,after
baseline,6136544,before
baseline,6136544,after
baseline,4518096,before
baseline,4038288,after
baseline,4238880,before
baseline,4238880,after
baseline,5137464,before
baseline,4778768,after
baseline,5812888,before
baseline,5812888,after
baseline,6131792,before
baseline,5582944,after
baseline,6136544,before
baseline,6136544,after
baseline,4518096,before
baseline,4038288,after
baseline,4238880,before
baseline,4238880,after
baseline,5137464,before
baseline,4778768,after
baseline,5812888,before
baseline,5812888,after
baseline,6131792,before
baseline,5582944,after
baseline,6136544,before
baseline,6136544,after
baseline,4518096,before
baseline,4038288,after
baseline,4238880,before
baseline,4238880,after
baseline,5137464,before
baseline,4778768,after
baseline,5812888,before
baseline,5812888,after
baseline,6131792,before
baseline,5582944,after
baseline,6136544,before
baseline,6136544,after
baseline,4518096,before
baseline,4038288,after
baseline,4238880,before
baseline,4238880,after
baseline,5137464,before
baseline,4778768,after
baseline,5812888,before
baseline,5812888,after
baseline,6131792,before
baseline,5582944,after
baseline,6136544,before
baseline,6136544,after
baseline,4518096,before
baseline,4038288,after
baseline,4238880,before
baseline,4238880,after
baseline,5137464,before
baseline,4778768,after
baseline,5812888,before
baseline,5812888,after
baseline,6131792,before
baseline,5582944,after
baseline,6136544,before
baseline,6136544,after
baseline,4518096,before
baseline,4038288,after
baseline,4238880,before
baseline,4238880,after
baseline,5137464,before
baseline,4778768,after
baseline,5812888,before
baseline,5812888,after
baseline,6131792,before
baseline,5582944,after
baseline,6136544,before
baseline,6136544,after
baseline,4518096,before
baseline,4038288,after
baseline,4238880,before
baseline,4238880,after
baseline,5137464,before
baseline,4778768,after
baseline,5812888,before
baseline,5812888,after
baseline,6131792,before
baseline,5582944,after
baseline,6136544,before
baseline,6136544,after
baseline,4518096,before
baseline,4038288,after
baseline,4238880,before
baseline,4238880,after
baseline,5137464,before
baseline,4778768,after
baseline,5812888,before
baseline,5812888,after
baseline,6131792,before
baseline,5582944,after
baseline,6136544,before
baseline,6136544,after
baseline,4518096,before
baseline,4038288,after
baseline,4238880,before
baseline,4238880,after
baseline,5137464,before
baseline,4778768,after
baseline,5812888,before
baseline,5812888,after
baseline,6131792,before
baseline,5582944,after
baseline,6136544,before
baseline,6136544,after
baseline,4518096,before
baseline,4038288,after
baseline,4238880,before
baseline,4238880,after
baseline,5137464,before
baseline,4778768,after
baseline,5812888,before
baseline,5812888,after
baseline,6131792,before
baseline,5582944,after
baseline,6136544,before
baseline,6136544,after
baseline,4518096,before
baseline,4038288,after
baseline,4238880,before
baseline,4238880,after
baseline,5137464,before
baseline,4778768,after
baseline,5812888,before
baseline,5812888,after
baseline,6131792,before
baseline,5582944,after
baseline,6136544,before
baseline,6136544,after
baseline,4518096,before
baseline,4038288,after
baseline,4238880,before
baseline,4238880,after
baseline,5137464,before
baseline,4778768,after
baseline,5812888,before
baseline,5812888,after
baseline,6131792,before
baseline,5582944,after
baseline,6136544,before
baseline,6136544,after
baseline,4518096,before
baseline,4038288,after
baseline,4238880,before
baseline,4238880,after
baseline,5137464,before
baseline,4778768,after
baseline,5812888,before
baseline,5812888,after
baseline,6131792,before
baseline,5582944,after
baseline,6136544,before
baseline,6136544,after
baseline,4518096,before
baseline,4038288,after
baseline,4238880,before
baseline,4238880,after
baseline,5137464,before
baseline,4778768,after
baseline,5812888,before
baseline,5812888,after
baseline,6131792,before
baseline,5582944,after
baseline,6136544,before
baseline,6136544,after
baseline,4518096,before
baseline,4038288,after
baseline,4238880,before
baseline,4238880,after
baseline,5137464,before
baseline,4778768,after
baseline,5812888,before
baseline,5812888,after
baseline,6131792,before
baseline,5582944,after
baseline,6136544,before
baseline,6136544,after
baseline,4518096,before
baseline,4038288,after
baseline,4238880,before
baseline,4238880,after
baseline,5137464,before
baseline,4778768,after
baseline,5812888,before
baseline,5812888,after
baseline,6131792,before
baseline,5582944,after
baseline,6136544,before
baseline,6136544,after
baseline,4518096,before
baseline,4038288,after
baseline,4238880,before
baseline,4238880,after
baseline,5137464,before
baseline,4778768,after
baseline,5812888,before
baseline,5812888,after
baseline,6131792,before
baseline,5582944,after
baseline,6136544,before
baseline,6136544,after
baseline,4518096,before
baseline,4038288,after
baseline,4238880,before
baseline,4238880,after
baseline,5137464,before
baseline,4778768,after
baseline,5812888,before
baseline,5812888,after
baseline,6131792,before
baseline,5582944,after
baseline,6136544,before
baseline,6136544,after
